,Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
297,92823,3613,38.6,1757,1856,1154,3.13
298,92833,51767,36.0,25643,26124,15849,3.23
299,93040,2031,29.3,1052,979,522,3.89
300,93063,54366,39.0,26592,27774,18650,2.9
301,93225,5077,44.0,2585,2492,2080,2.44
302,93243,1699,40.9,884,815,623,2.73
303,93252,4176,38.4,3301,875,647,2.81
304,93510,7993,45.2,4086,3907,2729,2.86
305,93523,3074,27.0,1531,1543,1056,2.91
306,93532,2932,41.7,1642,1290,1079,2.45
307,93534,39341,31.1,18601,20740,14038,2.74
308,93535,72046,28.3,34879,37167,20672,3.44
309,93536,70918,34.4,37804,33114,20964,3.07
310,93543,13033,32.9,6695,6338,3560,3.66
311,93544,1259,52.4,689,570,569,2.2
312,93550,74929,27.5,36414,38515,20864,3.58
313,93551,50798,37.0,25056,25742,15963,3.18
314,93552,38158,28.4,18711,19447,9690,3.93
315,93553,2138,43.3,1121,1017,816,2.62
316,93560,18910,32.4,9491,9419,6469,2.92
317,93563,388,44.5,263,125,103,2.53
318,93591,7285,30.9,3653,3632,1982,3.67
